Acidaminococcus intestini
Acinetobacter qingfengensis
Aeromonas aquariorum
Agromyces subbeticus
Aquaspirillum serpens
Bacillus sonorensis
Bifidobacterium boum
Brevundimonas aveniformis
Burkholderia cenocepacia
Caldanaerobacter subterraneus
Chryseobacterium daeguense
Corynebacterium casei
Coxiella burnetii
Crocinitomicaceae bacterium
Cupriavidus necator
Desulfatibacillum aliphaticivorans
Echinacea purpurea'
Enterococcus quebecensis
Ewingella americana
Exiguobacterium alkaliphilum
Fischerella muscicola
Fluoribacter dumoffii
Gardnerella vaginalis
Gelidibacter mesophilus
Gluconobacter thailandicus
Helicobacter bilis
Henriciella marina
Imtechella halotolerans
Janthinobacterium svalbardensis
Jeotgalicoccus marinus
Kineococcus radiotolerans
Kordia jejudonensis
Kribbella flavida
Lactobacillus xiangfangensis
Leptospiraceae bacterium
Leptospira wolffii
Limnohabitans planktonicus
Mameliella atlantica
Marinobacter similis
Megamonas hypermegale
Meiothermus taiwanensis
Methylacidiphilum kamchatkense
Mycobacterium fragae
Neptuniibacter caesariensis
Niastella populi
Nitrospira japonica
Nocardia seriolae
Paenibacillus swuensis
Phaeobacter inhibens
Photorhabdus heterorhabditis
Porphyrobacter donghaensis
Prevotella buccalis
Pseudoalteromonas ruthenica
Pseudomonas punonensis
Rhizobium selenitireducens
Rhodococcus corynebacterioides
Rhodospirillales bacterium
Roseburia intestinalis
Sphingobium baderi
Sphingomonas haloaromaticamans
Spirosoma montaniterrae
Staphylococcus sciuri
Streptococcus equi
Streptomyces silaceus
Terribacillus aidingensis
Thermobifida halotolerans
Thermocrispum agreste
Vibrio toranzoniae
Virgibacillus halodenitrificans
