Project	Title	Abstract	Sequence Runs
SRP099026	sludge metagenome Raw sequence reads	Isolation of phages from waste water	SRR5236411
SRP107999	Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Spr_20_<0.8_DNA metagenome	Biogeochemical cycling links between terrestrial and marine systems	SRR5601898
SRP080517	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample 08_20_2013_1_40cm metagenome	 	SRR3989441,SRR3989442
SRP007817	Hoatzin crop microbiome epithelium fraction 12 Project	none provided	SRR351327,SRR351328,SRR446578,SRR446579,SRR446580,SRR446581,SRR446582
ERP021394	Environmental alkali multi-extreme Diamante Lake Red Biofilm WGS	Diamante Lake is a multi-extreme environment located in Catamarca province, Argentina. Developing on the bottom of calcareous rocks we found Red Biofilms (DLRB). The taxonomic composition metabolic potential was determined by shotgun sequencing.	ERR1824222
SRP096603	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC096_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5168925
ERP006694	test sequences	workshop aau	ERR580960
SRP100041	Marine microbial communities from the Southern Atlantic Ocean, analyzing organic carbon cycling - 250m_A/KNORR_S2/LV metagenome	 	SRR5262284
SRP006444	Community genomic analysis of an extremely acidophilic sulfur-oxidizing biofilm	Metagenomic analysis of highly acidic (pH 0-1) biofilms known as â€˜snottitesâ€™ that form on the walls and ceilings of hydrogen sulfide-rich caves. The metagenome was generated using first generation 454 pyrosequencing technology (GS 20 platform).	SRR189081
SRP104952	Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_s2 metagenome	Identifying viral communities during a global deep-ocean expedition	SRR5468455
SRP041163	Bovine rumen microbiome Metagenome	In this study we sought to explore the fibrolytic potential of New Zealand bovine rumen microbial communities via shotgun sequencing of their metagenomic DNA. In addition, we have explored the bovine rumen microbial metasecretome, which was enriched for via a selective phage display method.	SRR1239316
SRP099977	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE10Jul07 metagenome	 	SRR5260837
SRP059473	Dechlorination Culture CG-3 and SG-1 Metagenome	Metagenomic data for CG-3 and SG-1	SRR2062390,SRR2062392,SRR2062395
SRP081889	Freshwater microbial communities from Trout Bog Lake, WI - 27AUG2007 epilimnion metagenome	 	SRR4029080
SRP091673	17th century variola virus	Recovery of variola virus through targeted enrichment.	SRR4427811
SRP104826	Estuarine microbial communities from the Columbia River estuary - Ebb tide ETM metaG S.573 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468158
SRP041649	Acidic hot spring Metagenome	Metagenomic raw reads from acidic hot spring microbes	SRR1297186,SRR1297204
SRP098105	Estuarine microbial communities from the Columbia River estuary - metaG 1549B-02 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5209940
SRP081953	Freshwater microbial communities from Trout Bog Lake, WI - 16OCT2007 hypolimnion metagenome	 	SRR4029393
SRP003198	Metagenome isolated from kimchi	Microbiomes isolated from Korean fermented food kimchi.  The WGS project can be found using the Project data link.	SRR256747,SRR256748,SRR256749,SRR256751,SRR256756
SRP081962	Freshwater microbial communities from Trout Bog Lake, WI - 14NOV2007 hypolimnion metagenome	 	SRR4029402
SRP104928	Freshwater sediment microbial communities from Prairie Pothole Lake near Jamestown, North Dakota, USA - PPLs Lake P7 Core (1) Depth 1-3cm May2015 metagenome	Metagenome sequencing of total DNA extracted from a series of sediment cores collected at the USGS Cottonwood Lakes prairie pothole lake research site near Jamestown, North Dakota	SRR5468427
